"[""Je t'aimais sur l'air de Broadway Rose"", ' [enregistrement sonore] : [interprété par] Hector Pellerin. Chérie', ' Brisson-Bibo ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Je t'aime, c'est tout  [enregistrement sonore]"", "" Gardeni-Aurelli-Granier ; [interprété par] le Merle rouge [i.e.] Fernand Perron. Si je n'écoutais que mon coeur"", ' Horenz-Lattès ; [interprété par] le Merle rouge [i.e.] Fernand Perron']",Merle rouge (Musicien),1936,"1 disque : analogique, 78 r/min ; 25 cm"
"['Je t\'aime I love you, from ""Little Jessie James""', ' [enregistrement sonore] = Brisson-Thompson-Archer ; [interprété par] J.H. Germain. Non, non, Nora = No, no, Nora', ' Combis-Kahn-Fiorito-Erdman ; [interprété par] J.H. Germain']","Germain, J.-H. (J.-Hervey), 1888-1961",1924,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Je t'aime Le régiment de Sambre et Meuse"", ' [enregistrement sonore] ; chanté par Joseph Saucier, avec orchestre']","Saucier, Joseph, 1869-1941",1920,"1 disque : analogique, 80 r/min ; 25 cm"
"[""Je t'aime Pierrette Rien que toi"", ' Deyglun-Zbriger ; [interprété par] Roméo Mousseau [enregistrement sonore]', ' Derfla-Dorletti ; [interprété par] Roméo Mousseau.']","Mousseau, Roméo",1929,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Je t'aimerai toujours I've heard that song before"", ' [enregistrement sonore] = Styne-Cahn-Aubert ; [interprété par] André Lamarre. Pour notre bonheur = For me and my gal', ' Meyer-Aubert ; [interprété par] André Lamarre']","Lamarre, André",1943,"1 disque : analogique, 78 r/min ; 25 cm"
"['Je te tiens dans mes bras Rio Rita : extrait[s] de ""Rio Rita""', ' [enregistrement sonore] ; Beaudry-Tierney ; [interprété par] Jean Cartier']","Tierney, Harry, 1890-1965",1929,"1 disque : analogique, 78 r/min ; 25 cm"
"['Je veux aller où tu vas ""Then I\'ll be happy""', ' [enregistrement sonore] = Friend-Clare-Brown-Beaudry ; [interprété par] Hercule Lavoie. Si j\'avais su! = ""I never knew how wonderful""', ' Terriss-Burke-Beaudry ; [interprété par] Hercule Lavoie']","Lavoie, Hercule",1926,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Je veux m'marier François Margotte"", ' [enregistrement sonore] ; [interprété par] J.O. & Albert LaMadeleine']","LaMadeleine, J.O. (Joseph-Ovila), 1880-1973",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Je veux t'aimer toujours I'll be walkin' with my honey"", ' [enregistrement sonore] = Kaye-Medoff-Grimaldi ; [interprété par] Lionel Parent. Symphonie', ' Tabet-Alstone- Bernstein ; [interprété par] Lionel Parent']","Parent, Lionel, 1905-1980",1946,"1 disque : analogique, 78 r/min ; 25 cm"
"['Je vous aime et voilà tout À Parthenay', ' chanté par Alexander [i.e. Alexandre] Desmarteau [enregistrement sonore]', ' chanté par Alexandre Desmarteau.']","Desmarteau, Alexandre, 1885-1926",1921,"1 disque : analogique, 80 r/min ; 25 cm"
"[""Jeanne D'Arc  [enregistrement sonore]"", ' Bryan-Weston- Wells ; [interprété par] C. Dalberty. Marche Lorraine', ' Jory-Pradels-Ganne ; [interprété par] C. Dalberty']","Dalberty, Charles",1919,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Jeanne d'Arc au bûcher Choeur des soldats"", ' Faust-Gounod ; [interprété par le] Quatuor Canadien [enregistrement sonore]', ' Bossière[sic] ; [interprété par le] Quatuor Canadien.']",Quatuor Canadien,1922,"1 disque : analogique, 78 r/min ; 25 cm"
"['Jeannine au temps des lilas  [enregistrement sonore]', "" Beaudry-Shilkret ; [interprété par] Arthur Lapierre. La valse d'autrefois"", ' Beaudry-Thomas ; [interprété par] Arthur Lapierre']","Lapierre, Arthur",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Jeannine au temps des lilas sur l\'air de ""Jeannine, I dream of lilac time""', ' [enregistrement sonore] : Beaudry-Shilkret ; [interprété par] Georges Beauchemin. Berceuse tendre : il fait si bon près de toi', ' Daniderff-Ronn-Daniderff ; [interprété par] Georges Beauchemin']","Beauchemin, Georges, 1891-1957",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Jésus de Nazareth La Vierge à la crèche', ' Daudet-Perilhou [enregistrement sonore]', ' Gounod.']","Gounod, Charles, 1818-1893",1929,"1 disque : analogique, 78 r/min ; 25 cm"
"['La jeune Timire  [enregistrement sonore]', ' [interprété par] Eugène Daignault. Miséricorde : reel', ' [interprété par] Monmarquette & St-Jean']","Daignault, Eugène, 1895-1960",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Jing a bula jing jing chanson de genre', ' [enregistrement sonore] : Beaudry-Jérôme ; [interprété par] Hector Pellerin. Histoire de rire : chanson vécue', ' [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm"
"[""La joie du soldat Soldier's joy ; Cotillon à huit"", ' [enregistrement sonore] = [interprété par] Joseph Allard']","Allard, Joseph, 1873-1947",1929,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Joli tambour C'était Anne de Bretagne"", ' [enregistrement sonore] ; [interprété par] Albert Marier']","Marier, Albert, 1895-1971","1942, 1929","1 disque : analogique, 78 r/min ; 18 cm"
"['La jolie aventure  [enregistrement sonore]', ' Christiné ; [interprété par] Hector Pellerin. La jolie loucheuse', ' Benech-Desmoulins ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1919,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Les jolis yeux de Suzon Chantez, chantez, grand'mère"", ' Gabaroche ; [interprété par] Mde. Armand Duprat [enregistrement sonore]', ' A. Larrieu ; [interprété par] Armand Duprat.']","Duprat, Armand",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Jonas dans la baleine  [enregistrement sonore]', "" [interprété par] Conrad Gauthier et choeur avec piano. On est Canayen ou ben on n'l'est pas"", ' [interprété par] Conrad Gauthier']","Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm"
"['Jonas dans la baleine En pli, en plein', ' [enregistrement sonore] ; [interprété par] Ovila Légaré, baryton']","Légaré, Ovila, 1901-1978",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Joséphine Va vite, ma vieille', ' [enregistrement sonore] ; [interprété par] Eugène Daignault']","Daignault, Eugène, 1895-1960",1927,"1 disque : analogique, 78 r/min ; 25 cm"
"['Jouannine parodie sur ""Jeannine""', ' [enregistrement sonore] : Tremblay-Wayne ; [interprété par] Mde J.R. Tremblay. Whing hein', ' J.R. Tremblay ; [interprété par] Mons. & Mde J.R. Tremblay']","Tremblay, J.R., Mme, 1885-1970",1929,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Le Jour de l'an Le bas de Noël"", ' [enregistrement sonore] ; Mde Ed. Bolduc ; [interprété par] Mde Ed. Bolduc']","Bolduc, Édouard, Mme, 1894-1941",1930,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Le Jour de l'an New year's day"", ' [enregistrement sonore] = [interprété par] Conrad Gauthier. Autrefois = Other days', ' [interprété par] Conrad Gauthier et Béatrice Lapierre-Latour']","Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm"
"['Les joyeuses Québécoises reel', ' [enregistrement sonore] : F. Malouin ; [interprété par] Joe Bouchard, violon avec piano. Galop de La Malbaie', ' [interprété par] Joe Bouchard, violon avec piano']","Bouchard, Jos, 1905-1979","1948, 1938","1 disque : analogique, 78 r/min ; 25 cm"
"[""Le jupon d'Angèle  [enregistrement sonore]"", ' R. Beaudry ; [interprété par] Eugène Daignault. Pingo-Gobino', ' [interprété par] Eugène Daignault']","Daignault, Eugène, 1895-1960",1930,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Jusqu'au dernier jour Till the end of time"", "" Chopin-Kaye-Mossman-Aubert ; [interprété par] Jacques Aubert. J'aime les femmes, c'est ma folie"", ' Pujol-Audiffred-Koger-Scotto ; [interprété par] Jacques Aubert [enregistrement sonore] =']","Aubert, Jacques, musicien",1945,"1 disque : analogique, 78 r/min ; 25 cm"
"['Là où le Mississippi Where the Mississippi flows', ' [enregistrement sonore] = paroles françaises de Bézazian ; chanté par Torcom Bézazian. Lison-Lisette', ' Borel-Clerc ; chanté par Torcom Bézazian']","Bézazian, Torcom",1922,"1 disque : analogique, 80 r/min ; 25 cm"
"[""Laisse-moi si tu m'aimes  [enregistrement sonore]"", ' de Montgaillard-des Loys ; [interprété par] Roméo Mousseau. Adorables tourments : valse tzigane', ' Gael-Barthélemy-Caruso ; [interprété par] Roméo Mousseau']","Mousseau, Roméo",1929,"1 disque : analogique, 78 r/min ; 25 cm"
"['Laisse-moi t\'aimer sur l\'air de ""Let me call you sweetheart""', ' [enregistrement sonore] : Friedman ; [interprété par] Hector Pellerin. Que tu me manques ce soir : sur l\'air de ""Oh! how I miss you to-night""', ' Davis-Fisher-Burke ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1926,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Laisse-moi te dire sur l'air de Let me call you sweetheart"", ' [enregistrement sonore] : Beaudry-Whitson-Friedman ; [interprété par] Hercule Lavoie. Diamants bleus', ' Beaudry ; [interprété par] Hercule Lavoie']","Lavoie, Hercule",1926,"1 disque : analogique, 78 r/min ; 25 cm"
"['Lancier (galop) 5ème partie ; Reel Pointe-au-Pic', ' J. Bouchard ; [interprété par] Joe Bouchard, violon avec piano. [enregistrement sonore] :']","Bouchard, Jos, 1905-1979","1952, 1938","1 disque : analogique, 78 r/min ; 25 cm"
"[""Larmes d'amour  [enregistrement sonore]"", ' A. Barbirolli ; [performed by] baritone solo, J.F. de Belleval. Pourquoi veux-tu briser mon coeur', ' D. Taberniaco and Ed. Perroud ; [performed by] baritone solo, J.F. de Belleval']","Belleval, J.F. de (Joséphat Fournier de)",1923,"1 disque : analogique, 80 r/min ; 25 cm"
"[""Larmes d'amour Les feuilles sont mortes"", ' Morax-Doret [enregistrement sonore]', ' Chapelle- Baribolli.']","Larochelle, Émile, 1891-1958",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Laura  [enregistrement sonore]', ' Johnny Mercer-David Raksin ; [interprété par] Alys Robi. Petite Negrita = Negra consentida = My pet brunette', "" Harper-Joaquin Pardave ; paroles françaises d'Alys Robi ; [interprété par] Alys Robi""]","Robi, Alys, 1923-2011",1944,"1 disque : analogique, 78 r/min ; 25 cm"
"['La légende des flots bleus  [enregistrement sonore]', ' Christiné-Dalbert ; [interprété par] Hector Pellerin. Sous les ponts de Paris', ' Rodor-Scotto ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1918,"1 disque : analogique, 78 r/min ; 25 cm"
"['La légende des nations Chante ma bergère', ' [interprété par] Conrad Gauthier [enregistrement sonore]', ' Solange ; [interprété par] Conrad Gauthier.']","Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm"
"['Lenora  [enregistrement sonore]', ' Beaudry-Riesenfeld ; [interprété par] Jean Cartier. Nuits napolitaines', ' Max-Zamecnik ; [interprété par] Jean Cartier']","Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"[""La lettre le temps d'aimer"", ' [enregistrement sonore] : Reynaldo Hahn ; [interprété par] Mde Jeanne Maubourg. Boccace : couplets du petit jardinier', ' Suppé ; [interprété par] Mde Jeanne Maubourg']","Hahn, Reynaldo, 1875-1947",1930,"1 disque : analogique, 78 r/min ; 25 cm"
"[""La lettre d'un soldat canadien La réponse à la lettre d'un soldat canadien"", ' Paradis-Remia ; [interprété par] Luiza Lebel [enregistrement sonore]', ' Paradis-Remia ; [interprété par] Roland Lebrun.']","Rémia, José",1942,"1 disque : analogique, 78 r/min ; 25 cm"
"['Lilas-blanc Le couteau', ' [enregistrement sonore] ; Botrel ; [interprété par] Théodore Botrel']","Botrel, Théodore, 1868-1925",1922,"1 disque : analogique, 78 r/min ; 25 cm"
"['Lili Marlene Dolorès', ' Paradis- Frégeau ; [interprété par] Jacques Aubert [enregistrement sonore]', ' Jacques Aubert ; [interprété par] Jacques Aubert.']","Aubert, Jacques, musicien",1947,"1 disque : analogique, 78 r/min ; 25 cm"
